,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
202,228700,95,1,2.64,14.6,0.6,2.64,9.92
203,228800,95,1,2.6,13.4,0.6,2.6,10.21
204,228900,95,1,2.13,12.83,0.6,2.13,8.9
205,229000,95,1,2.02,12.9,0.6,2.02,9.19
206,229100,95,1,2.11,12.89,0.6,2.11,9.22
207,229200,95,1,2.4,11.77,0.6,2.4,9.8
208,229300,95,1,2.29,12.84,0.6,2.29,9.69
209,229400,95,1,2.56,13.18,0.6,2.56,9.75
210,229500,95,1,2.48,13.19,0.6,2.48,9.65
211,229600,95,1,2.24,13.4,0.6,2.24,9.79
212,229700,95,1,2.17,11.31,0.6,2.17,9.66
213,229800,95,1,2.22,11.5,0.6,2.22,9.67
214,229900,95,1,2.34,10.82,0.6,2.34,9.35
215,230000,95,1,2.49,11.19,0.6,2.49,8.7
216,230100,95,1,2.6,10.66,0.6,2.6,9.23
217,230200,95,1,2.42,10.55,0.6,2.42,8.85
218,230300,95,1,2.45,10.55,0.6,2.45,8.89
219,230400,95,1,2.64,11.89,0.6,2.64,9.29
220,230500,95,1,2.4,11.61,0.6,2.4,8.9
221,230600,95,1,2.26,11.53,0.6,2.26,8.95
222,230700,95,1,2.67,11.64,0.6,2.67,9.1
223,230800,95,1,2.51,12.44,0.6,2.51,8.91
224,230900,95,1,2.58,12.05,0.6,2.58,9.49
225,231000,95,1,2.29,10.25,0.6,2.29,8.66
226,231100,95,1,2.37,10.51,0.6,2.37,8.93
227,231200,95,1,2.44,11.12,0.6,2.44,9.53
228,231300,95,1,2.53,11.77,0.6,2.53,9.06
229,231400,95,1,2.59,10.82,0.6,2.59,9.4
230,231500,95,1,2.27,11.55,0.6,2.27,8.91
231,231600,95,1,1.98,10.2,0.6,1.98,8.7
232,231700,95,1,2.65,12.1,0.6,2.65,9.9
233,231800,95,1,2.22,12.17,0.6,2.22,8.87
234,231900,95,1,2.82,11.97,0.6,2.82,9.34
235,232000,95,1,2.19,10.56,0.6,2.19,8.97
236,232100,95,1,2.0,11.3,0.6,2.0,9.24
237,232200,95,1,2.55,12.9,0.6,2.55,9.56
238,232300,95,1,2.39,12.45,0.6,2.39,9.85
239,232400,95,1,2.71,13.42,0.6,2.71,10.0
240,232500,95,1,2.05,11.97,0.6,2.05,9.35
241,232600,95,1,3.0,12.95,0.6,3.0,9.49
